"location","name","peopleName","gentile","inseeCode"
"http://fr.dbpedia.org/resource/Saint-Trojan-les-Bains","Saint-Trojan-les-Bains","Saint-Trojannais","Saint-Trojannais","17411"
"http://fr.dbpedia.org/resource/Saint-Étienne-d'Albagnan","Saint-Étienne-d'Albagnan","Stéphanois, Albagnanais","Stéphanois, Albagnanais","34250"
"http://fr.dbpedia.org/resource/Sainte-Hermine","Sainte-Hermine","Herminois","Herminois","85223"
"http://fr.dbpedia.org/resource/Sainte-Marie-Cappel","Sainte-Marie-Cappel","Cappelois","Cappelois","59536"
"http://fr.dbpedia.org/resource/Surzur","Surzur","Surzurois, Surzuroise","Surzurois, Surzuroise","56248"
"http://fr.dbpedia.org/resource/Ventabren","Ventabren","Ventabrennais","Ventabrennais","13114"
"http://fr.dbpedia.org/resource/Verrières-en-Forez","Verrières-en-Forez","Verrièrois, Verrièroise","Verrièrois, Verrièroise","42328"
"http://fr.dbpedia.org/resource/Zoza","Zoza","Zozais","Zozais","2A363"
"http://fr.dbpedia.org/resource/Zoza","Zoza","Zozais","Zuzinchi","2A363"
"http://fr.dbpedia.org/resource/Zoza","Zoza","Zuzinchi","Zozais","2A363"
"http://fr.dbpedia.org/resource/Zoza","Zoza","Zuzinchi","Zuzinchi","2A363"
"http://fr.dbpedia.org/resource/Acigné","Acigné","Acignolais","Acignolais","35001"
"http://fr.dbpedia.org/resource/Amfreville_(Manche)","Amfreville (Manche)","Amfrevillais","Amfrevillais","50005"
"http://fr.dbpedia.org/resource/Arbent","Arbent","Arbanais","Arbanais","01014"
"http://fr.dbpedia.org/resource/Avessac","Avessac","Avessacais","Avessacais","44007"
"http://fr.dbpedia.org/resource/Berd'huis","Berd'huis","Berd'huisiens","Berd'huisiens","61043"
"http://fr.dbpedia.org/resource/Chaingy","Chaingy","Cambiens","Cambiens","45067"
"http://fr.dbpedia.org/resource/Cluis","Cluis","Cluisiens","Cluisiens","36056"
"http://fr.dbpedia.org/resource/Colonard-Corubert","Colonard-Corubert","Colonardais","Colonardais","61112"
"http://fr.dbpedia.org/resource/Dijon","Dijon","Dijonnais, Dijonnaise","Dijonnais, Dijonnaise","21231"
"http://fr.dbpedia.org/resource/Erdeven","Erdeven","Erdevennois, Erdevennoise","Erdevennois, Erdevennoise","56054"
"http://fr.dbpedia.org/resource/Gauriaguet","Gauriaguet","Gauriaguetains","Gauriaguetains","33183"
"http://fr.dbpedia.org/resource/Hénon","Hénon","Hénonnais, Hénonnaise","Hénonnais, Hénonnaise","22079"
"http://fr.dbpedia.org/resource/Krautergersheim","Krautergersheim","Chouvillois, Chouvilloise","Chouvillois, Chouvilloise","67248"
"http://fr.dbpedia.org/resource/La_Chapelle-des-Marais","La Chapelle-des-Marais","Marais-Chapelains","Marais-Chapelains","44030"
"http://fr.dbpedia.org/resource/La_Châtre","La Châtre","Castrais","Castrais","36046"
"http://fr.dbpedia.org/resource/La_Palme","La Palme","Palmistes","Palmistes","11188"
"http://fr.dbpedia.org/resource/La_Vallée","La Vallée","Vallois","Vallois","17455"
"http://fr.dbpedia.org/resource/Lanvollon","Lanvollon","Lanvollonnais, Lanvollonnaise","Lanvollonnais, Lanvollonnaise","22121"
"http://fr.dbpedia.org/resource/Le_Plessis-Robinson","Le Plessis-Robinson","Robinsonnais","Robinsonnais","92060"
"http://fr.dbpedia.org/resource/Mallemort","Mallemort","Mallemortais","Mallemortais","13053"
"http://fr.dbpedia.org/resource/Matignon_(Côtes-d'Armor)","Matignon (Côtes-d'Armor)","Matignonnais","Matignonnais","22143"
"http://fr.dbpedia.org/resource/Montautour","Montautour","Montaltorien","Montaltorien","35185"
"http://fr.dbpedia.org/resource/Mulhouse","Mulhouse","Mulhousiens, Mulhousiennes","Mulhousiens, Mulhousiennes","68224"
"http://fr.dbpedia.org/resource/Nocé","Nocé","Nocéens","Nocéens","61309"
"http://fr.dbpedia.org/resource/Orbigny_(Indre-et-Loire)","Orbigny (Indre-et-Loire)","Orbignois","Orbignois","37177"
"http://fr.dbpedia.org/resource/Paucourt","Paucourt","Paucourtois","Paucourtois","45249"
"http://fr.dbpedia.org/resource/Pia","Pia","Pianencs","Pianencs","66141"
"http://fr.dbpedia.org/resource/Port-Vendres","Port-Vendres","Port-Vendrais","Port-Vendrais","66148"
"http://fr.dbpedia.org/resource/Pouillé-les-Côteaux","Pouillé-les-Côteaux","Cotellois","Cotellois","44134"
"http://fr.dbpedia.org/resource/Préaux-du-Perche","Préaux-du-Perche","Préaliens","Préaliens","61337"
"http://fr.dbpedia.org/resource/Ronce-les-Bains","Ronce-les-Bains","Ronçois","Ronçois","17452"
"http://fr.dbpedia.org/resource/Rueil-Malmaison","Rueil-Malmaison","Rueillois","Rueillois","92063"
"http://fr.dbpedia.org/resource/Saint-Cast-le-Guildo","Saint-Cast-le-Guildo","Guildocéens & Castins","Guildocéens & Castins","22282"
"http://fr.dbpedia.org/resource/Saint-Gervais_(Gironde)","Saint-Gervais (Gironde)","Gervaisiens","Gervaisiens","33415"
"http://fr.dbpedia.org/resource/Saint-Glen","Saint-Glen","Glénois, Glénoise","Glénois, Glénoise","22296"
"http://fr.dbpedia.org/resource/Saint-Jacut-de-la-Mer","Saint-Jacut-de-la-Mer","Jaguens","Jaguens","22302"
"http://fr.dbpedia.org/resource/Saint-Laurent-d'Arce","Saint-Laurent-d'Arce","Saint-Laurentais","Saint-Laurentais","33425"
"http://fr.dbpedia.org/resource/Saint-Quay-Portrieux","Saint-Quay-Portrieux","Quinocéen, Quinocéenne","Quinocéen, Quinocéenne","22325"
"http://fr.dbpedia.org/resource/Saint-Viaud","Saint-Viaud","Vitaliens","Vitaliens","44192"
"http://fr.dbpedia.org/resource/Saint-Étienne-du-Gué-de-l'Isle","Saint-Étienne-du-Gué-de-l'Isle","Stéphanois, Stéphanoise","Stéphanois, Stéphanoise","22288"
"http://fr.dbpedia.org/resource/Salignac_(Gironde)","Salignac (Gironde)","Salignacais","Salignacais","33495"
"http://fr.dbpedia.org/resource/Sceaux_(Hauts-de-Seine)","Sceaux (Hauts-de-Seine)","Scéens","Scéens","92071"
"http://fr.dbpedia.org/resource/Teillay","Teillay","Teillacois","Teillacois","35332"
"http://fr.dbpedia.org/resource/Touvois","Touvois","Touvoisiens","Touvoisiens","44206"
"http://fr.dbpedia.org/resource/Trignac","Trignac","Trignacais","Trignacais","44210"
"http://fr.dbpedia.org/resource/Tréglamus","Tréglamus","Cocagnard, Cocagnarde","Cocagnard, Cocagnarde","22354"
"http://fr.dbpedia.org/resource/Verrières_(Orne)","Verrières (Orne)","Verriérois","Verriérois","61501"
"http://fr.dbpedia.org/resource/Vertou","Vertou","Vertavien","Vertavien","44215"
"http://fr.dbpedia.org/resource/Annecy-le-Vieux","Annecy-le-Vieux","Ancileviens","Ancileviens","74011"
"http://fr.dbpedia.org/resource/Barbaira","Barbaira","Barbairanais, Barbairanaises","Barbairanais, Barbairanaises","11027"
"http://fr.dbpedia.org/resource/Bry-sur-Marne","Bry-sur-Marne","Bryards","Bryards","94015"
"http://fr.dbpedia.org/resource/Béthisy-Saint-Pierre","Béthisy-Saint-Pierre","Béthisiens","Béthisiens","60068"
"http://fr.dbpedia.org/resource/Châlons-en-Champagne","Châlons-en-Champagne","Châlonnais(e)","Châlonnais","51108"
"http://fr.dbpedia.org/resource/Dreux","Dreux","Drouais, Drouaise","Drouais, Drouaise","28134"
"http://fr.dbpedia.org/resource/Godbrange_(Meurthe-et-Moselle)","Godbrange (Meurthe-et-Moselle)","godbrangeois","godbrangeois","54 270"
"http://fr.dbpedia.org/resource/Illiat","Illiat","Illiatis","Illiatis","01188"
"http://fr.dbpedia.org/resource/Lagnieu","Lagnieu","Lagnolans","Lagnolans","01202"
"http://fr.dbpedia.org/resource/Le_Vieil-Baugé","Le Vieil-Baugé","Vieil-Baugeois, Vieil-Baugeoise","Vieil-Baugeois, Vieil-Baugeoise","49372"
"http://fr.dbpedia.org/resource/Les_Abrets","Les Abrets","Abrésiens / Abrésiennes","Abrésiens / Abrésiennes","38001"
"http://fr.dbpedia.org/resource/Les_Touches","Les Touches","Touchois","Touchois","44205"
"http://fr.dbpedia.org/resource/Mardié","Mardié","Mardésiens","Mardésiens","45194"
"http://fr.dbpedia.org/resource/Montrouge","Montrouge","Montrougiens","Montrougiens","92049"
"http://fr.dbpedia.org/resource/Moussoulens","Moussoulens","Moussoulenois, Moussoulenoises","Moussoulenois, Moussoulenoises","11259"
"http://fr.dbpedia.org/resource/Nanterre","Nanterre","Nanterrois ou Nanterriens","Nanterrois ou Nanterriens","92050"
"http://fr.dbpedia.org/resource/Pignan","Pignan","Pignanais","Pignanais","34202"
"http://fr.dbpedia.org/resource/Pornichet","Pornichet","Pornichétins","Pornichétins","44132"
"http://fr.dbpedia.org/resource/Pépieux","Pépieux","Pépieuxois","Pépieuxois","11280"
"http://fr.dbpedia.org/resource/Roinville_(Essonne)","Roinville (Essonne)","Roinvillois","Roinvillois","91525"
"http://fr.dbpedia.org/resource/Saint-Aubin-lès-Elbeuf","Saint-Aubin-lès-Elbeuf","Saint-Aubinois","Saint-Aubinois","76561"
"http://fr.dbpedia.org/resource/Saint-Germain-Laval_(Seine-et-Marne)","Saint-Germain-Laval (Seine-et-Marne)","Saint-Germanois","Saint-Germanois","77409"
"http://fr.dbpedia.org/resource/Saint-Sorlin-en-Bugey","Saint-Sorlin-en-Bugey","Saint-Sorlinois","Saint-Sorlinois","01386"
"http://fr.dbpedia.org/resource/Saint-Vallier_(Drôme)","Saint-Vallier (Drôme)","Saint Vallierois, Saint Vallieroises","Saint Vallierois, Saint Vallieroises","26333"
"http://fr.dbpedia.org/resource/Saint-Étienne-de-Montluc","Saint-Étienne-de-Montluc","Stéphanois","Stéphanois","44158"
"http://fr.dbpedia.org/resource/Sainte-Cécile-les-Vignes","Sainte-Cécile-les-Vignes","Céciliens, Céciliennes","Céciliens, Céciliennes","84106"
"http://fr.dbpedia.org/resource/Tauxigny","Tauxigny","Tauxignois","Tauxignois","37254"
"http://fr.dbpedia.org/resource/Trouillas","Trouillas","Trouillasencs, Trouillasenques","Trouillasencs, Trouillasenques","66217"
"http://fr.dbpedia.org/resource/Trélissac","Trélissac","Trélissacois","Trélissacois","24557"
"http://fr.dbpedia.org/resource/Yutz","Yutz","Yussois","Yussois","57757"
"http://fr.dbpedia.org/resource/Amilly_(Loiret)","Amilly (Loiret)","Amillois","Amillois","45004"
"http://fr.dbpedia.org/resource/Bouc-Bel-Air","Bouc-Bel-Air","Boucains","Boucains","13015"
"http://fr.dbpedia.org/resource/Bédée","Bédée","Bédéen","Bédéen","35023"
"http://fr.dbpedia.org/resource/Cergy","Cergy","Cergyssois","Cergyssois","95127"
"http://fr.dbpedia.org/resource/Chailly-en-Bière","Chailly-en-Bière","Chaillotins","Chaillotins","77069"
"http://fr.dbpedia.org/resource/Châteauneuf-sur-Loire","Châteauneuf-sur-Loire","Castelneuviens","Castelneuviens","45082"
"http://fr.dbpedia.org/resource/Concarneau","Concarneau","Concarnois","Concarnois","29039"
"http://fr.dbpedia.org/resource/Corps-Nuds","Corps-Nuds","Cornusien","Cornusien","35088"
"http://fr.dbpedia.org/resource/Gréville-Hague","Gréville-Hague","Grévillais","Grévillais","50220"
"http://fr.dbpedia.org/resource/La_Selle-en-Hermoy","La Selle-en-Hermoy","Sellois","Sellois","45306"
"http://fr.dbpedia.org/resource/Le_Plan-de-la-Tour","Le Plan-de-la-Tour","Plantourians / Plantouriannes","Plantourians / Plantouriannes","83094"
"http://fr.dbpedia.org/resource/Liffol-le-Grand","Liffol-le-Grand","Liffolois(es)","Liffolois","88270"
