"location", "name", "demonym", "inseeCode"
"http://dbpedia.org/resource/Montabot", "Montabot", "Montabolais", 50334
"http://dbpedia.org/resource/Montaigu-la-Brisette", "Montaigu-la-Brisette", "Montaiguais", 50335
"http://dbpedia.org/resource/Montaigu-les-Bois", "Montaigu-les-Bois", "Montaiguais", 50336
"http://dbpedia.org/resource/Montaillé", "Montaillé", "Montabonais, Montabonaise", 72204
"http://dbpedia.org/resource/Montbizot", "Montbizot", "Montbizotin, Montbizotine", 72205
"http://dbpedia.org/resource/Montbonnot-Saint-Martin", "Montbonnot-Saint-Martin", "Bonimontains", 38249
"http://dbpedia.org/resource/Montbray", "Montbray", "Montbrayons", 50338
"http://dbpedia.org/resource/Montcresson", "Montcresson", "Montcressonnais", 45212
"http://dbpedia.org/resource/Montereau,_Loiret", "Montereau (Loiret)", "Monterelais", 45213
"http://dbpedia.org/resource/Montfarville", "Montfarville", "Monfarvillais", 50342
"http://dbpedia.org/resource/Montfaucon-Montigné", "Montfaucon-Montigné", "Montois, Montoise", 49206
"http://dbpedia.org/resource/Montfort,_Maine-et-Loire", "Montfort (Maine-et-Loire)", "Montfortais, Montfortaise", 49207
"http://dbpedia.org/resource/Montfort-le-Gesnois", "Montfort-le-Gesnois", "Montgénois, Montgénoise", 72241
"http://dbpedia.org/resource/Montguillon", "Montguillon", "Montguillonnais, Montguillonnaise", 49208
"http://dbpedia.org/resource/Montigny-le-Gannelon", "Montigny-le-Gannelon", "Montrognons", 28262
"http://dbpedia.org/resource/Montigny-sur-Armançon", "Montigny-sur-Armançon", "Montignarmançonnais", 21431
"http://dbpedia.org/resource/Montigny-sur-Aube", "Montigny-sur-Aube", "Montignois", 21432
"http://dbpedia.org/resource/Montigny-sur-Vesle", "Montigny-sur-Vesle", "Ignymontois", 51379
"http://dbpedia.org/resource/Montigny-sur-l'Hallue", "Montigny-sur-l'Hallue", "Montignyens", 80562
"http://dbpedia.org/resource/Montigné-lès-Rairies", "Montigné-lès-Rairies", "Ignémontain, Ignémontaine", 49209
"http://dbpedia.org/resource/Montilliers", "Montilliers", "Monteglésien, Monteglésienne", 49211
"http://dbpedia.org/resource/Montilly-sur-Noireau", "Montilly-sur-Noireau", "Montillais", 61287
"http://dbpedia.org/resource/Montjean-sur-Loire", "Montjean-sur-Loire", "Montjeannais, Montjeannaise", 49212
"http://dbpedia.org/resource/Montjoie-Saint-Martin", "Montjoie-Saint-Martin", "Montjoyeux ou Montjoriciens", 50347
"http://dbpedia.org/resource/Montmartin-en-Graignes", "Montmartin-en-Graignes", "Montmartinais", 50348
